228539#2014-11-06 14:21:52#228539#2014-11-06 18:26:20#1079758#0.5366#0106000020E6100000010000000103000000010000000500000092A969B428395C405BE31A3C9FB8494016F37BB41B3A5C400C851964DCB84940E21E8D3B4C3A5C409231EB83B4B749401449CBB358395C40DB73F45377B7494092A969B428395C405BE31A3C9FB84940#0101000020E61000001607F559BA395C404C4B1DD129B84940#Сибирский#Забайкальский край#Улетовский#лесной#2014-11-07#f
228540#2014-11-06 14:21:52#228540#2014-11-06 14:21:52#1033850#0.1331#0106000020E610000001000000010300000001000000050000009235D184F9075C4086BA59CD848F494017B4D29CE3085C40842D55EDC38F4940607206F315095C40FB5A971AA18E49400D1B02D32B085C4009208C0A628E49409235D184F9075C4086BA59CD848F4940#0101000020E6100000361A2BBB87085C402BA3BFF7128F4940#Сибирский#Забайкальский край#Улетовский#нелесной#2014-11-07#f
228541#2014-11-06 15:59:18#228541#2014-11-06 15:59:18#1073097#0.0061#0106000020E61000000100000001030000000100000005000000F1500C778B895540244D93848AD14B40BA652C3F958A55409C789CDCCED14B4021D1FC18D08A5540B00B79E3A8D04B407A8FF130C68955404418609B64D04B40F1500C778B895540244D93848AD14B40#0101000020E610000026B045C22D8A5540137BEFB519D14B40#Сибирский#Кемеровская обл.#Кемеровский#лесной#2014-11-07#f
228541#2014-11-06 15:59:18#228541#2014-11-06 15:59:18#1073097#0.0061#0106000020E61000000100000001030000000100000005000000F1500C778B895540244D93848AD14B40BA652C3F958A55409C789CDCCED14B4021D1FC18D08A5540B00B79E3A8D04B407A8FF130C68955404418609B64D04B40F1500C778B895540244D93848AD14B40#0101000020E610000026B045C22D8A5540137BEFB519D14B40#Сибирский#Кемеровская обл.#Березовский#лесной#2014-11-07#f
228542#2014-11-06 12:39:28#228542#2014-11-06 12:39:28#2295065#\N#0106000020E610000001000000010300000001000000050000003DFF870548905F40ED8B9D53BD324A40615607C4D4915F40000108AB73334A40F6C8EE1B42925F40077BF23409324A40626E733ABB905F404662610C55314A403DFF870548905F40ED8B9D53BD324A40#0101000020E61000000EB5B05A46915F403929343B64324A40#Дальневосточный#Амурская обл.#Магдагачинский#нет данных#2014-11-07#f
228543#2014-11-06 12:39:28#228543#2014-11-06 12:39:28#1932874#0.1511#0106000020E61000000100000001030000000100000005000000EE3378A9627060404BD86D06EEAF4640C46D3CF1FF70604074F85A866EB0464017C0AD1E247160408073902111AF4640C79CCA16877060409E15C56990AE4640EE3378A9627060404BD86D06EEAF4640#0101000020E61000003F5C476FC370604074A6E48C7FAF4640#Дальневосточный#Приморский край#Ханкайский#нет данных#2014-11-07#f
228544#2014-11-06 12:39:28#228544#2014-11-06 12:39:28#3918556#0.3817#0106000020E610000001000000010300000001000000070000002EBD2639DA7960406D12CD4DE54A46404AC91759777A6040D2BCEB85654B4640E16203F1137B6040F053F23DE54B46402DBFE346377B604068C1F659864A46407552E3CE9A7A6040F73A0C5A064A4640DF5CD3EEFD796040D33617E2854946402EBD2639DA7960406D12CD4DE54A4640#0101000020E61000001337F0C7887A6040E40F02B3B54A4640#Дальневосточный#Приморский край#Пограничный#нелесной#2014-11-07#f
228544#2014-11-06 12:39:28#228544#2014-11-06 12:39:28#3918556#0.3817#0106000020E610000001000000010300000001000000070000002EBD2639DA7960406D12CD4DE54A46404AC91759777A6040D2BCEB85654B4640E16203F1137B6040F053F23DE54B46402DBFE346377B604068C1F659864A46407552E3CE9A7A6040F73A0C5A064A4640DF5CD3EEFD796040D33617E2854946402EBD2639DA7960406D12CD4DE54A4640#0101000020E61000001337F0C7887A6040E40F02B3B54A4640#Дальневосточный#Приморский край#Ханкайский#нелесной#2014-11-07#f
228544#2014-11-06 12:39:28#228544#2014-11-06 16:49:20#3918556#0.3817#0106000020E610000001000000010300000001000000070000002EBD2639DA7960406D12CD4DE54A46404AC91759777A6040D2BCEB85654B4640E16203F1137B6040F053F23DE54B46402DBFE346377B604068C1F659864A46407552E3CE9A7A6040F73A0C5A064A4640DF5CD3EEFD796040D33617E2854946402EBD2639DA7960406D12CD4DE54A4640#0101000020E61000001337F0C7887A6040E40F02B3B54A4640#Дальневосточный#Приморский край#Пограничный#нелесной#2014-11-07#f
228544#2014-11-06 12:39:28#228544#2014-11-06 16:49:20#3918556#0.3817#0106000020E610000001000000010300000001000000070000002EBD2639DA7960406D12CD4DE54A46404AC91759777A6040D2BCEB85654B4640E16203F1137B6040F053F23DE54B46402DBFE346377B604068C1F659864A46407552E3CE9A7A6040F73A0C5A064A4640DF5CD3EEFD796040D33617E2854946402EBD2639DA7960406D12CD4DE54A4640#0101000020E61000001337F0C7887A6040E40F02B3B54A4640#Дальневосточный#Приморский край#Ханкайский#нелесной#2014-11-07#f
